sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,,sequence.isolate,,,
AB683610,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2008/TRa-055,,,
AB683611,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2008/TRa-058,,,
AB683612,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2008,2008,2008,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2008/TRa-104,,,
AB683613,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2008,2008,2008,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2008/TRa-107,,,
AB683614,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-109,,,
AB683615,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2009,2009,2009,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-191,,,
AB683616,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 2, Cagayan",2009,2009,2009,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R2.PHL/2009/TRa-142,,,
AB683617,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R3, Nueva Ecija",2005,2005,2005,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2005/Z-05-198,,,
AB683618,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Zambales",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-018,,,
AB683619,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Pampanga",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-038,,,
AB683620,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Nueva Ecija",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-062,,,
AB683621,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Pampanga",2008,2008,2008,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-088,,,
AB683622,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Zambales",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-112,,,
AB683623,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Nueva Ecija",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2009/TRa-132,,,
AB683624,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Pampanga",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2009/TRa-133,,,
AB683625,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R3, Nueva Ecija",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2009/TRa-201,,,
AB683626,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R3, Nueva Ecija",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2009/TRa-205,,,
AB683627,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R3, Pampanga",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2009/TRa-206,,,
AB683628,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"CAR, Mountain Province",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/CAR.PHL/2009/TRa-222,,,
AB683629,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Cavite",2007,2007,2007,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-189,,,
AB683630,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Cavite",2007,2007,2007,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-243,,,
AB683631,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Quezon",2007,2007,2007,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-252,,,
AB683632,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Albay",2008,2008,2008,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-034,,,
AB683633,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Albay",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-067,,,
AB683634,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Camarines Sur",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-071,,,
AB683635,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Albay",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-072,,,
AB683636,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Sorsogon",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-073,,,
AB683637,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Catanduanes",2008,2008,2008,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-120,,,
AB683638,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Albay",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-122,,,
AB683639,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Catanduanes",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-123,,,
AB683640,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Albay",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2009/TRa-183,,,
AB683641,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Cebu",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2008/TRa-074,,,
AB683642,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Cebu",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2008/TRa-079,,,
AB683643,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Negros Oriental",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2009/TRa-144,,,
AB683644,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Cebu",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2009/TRa-168,,,
AB683645,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Cebu",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2009/TRa-173,,,
AB683646,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Cebu",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2009/TRa-176,,,
AB683647,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-186,,,
AB683648,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-194,,,
AB683649,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 10, Misamis Oriental",2009,2009,2009,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-195,,,
AB683650,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 3, Pampanga",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-002,,,
AB683651,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 5, Albay",2008,2008,2008,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-005,,,
AB683652,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 7, Cebu",2009,2009,2009,1124,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2009/TRa-179,,,
AB698023,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 4A, Batangas",2006,2006,2006,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4B.PHL/2006/Z-06-197,,,
AB698024,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 4B, Oriental Mindoro",2006,2006,2006,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4B.PHL/2006/Z-06-408,,,
AB733961,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"CAR, Mountain Province",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/CAR.PHL/2009/TRa-285,,,
AB733962,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"CAR, Ifgao",2010,2010,2010,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/CAR.PHL/2010/TRa-289,,,
AB733963,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2004,2004,2004,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2004/Z-04-646,,,
AB733964,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-256,,,
AB733965,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-257,,,
AB733966,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-258,,,
AB733967,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-259,,,
AB733968,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-260,,,
AB733969,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-263,,,
AB733970,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Ilocos Sur",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-265,,,
AB733971,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Ilocos Sur",2010,2010,2010,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2010/TRa-286,,,
AB733972,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2010,2010,2010,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2010/TRa-299,,,
AB733973,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2010,2010,2010,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2010/TRa-300,,,
AB733974,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region2, Isabela City",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R2.PHL/2009/TRa-279,,,
AB733975,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region2, Isabela City",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R2.PHL/2009/TRa-283,,,
AB733976,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region2, Isabela City",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R2.PHL/2009/TRa-284,,,
AB733977,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region5, Sorsogon",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2009/TRa-268,,,
AB733978,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region5, Albay",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2009/TRa-272,,,
AB733979,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region5, Albay",2009,2009,2009,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2009/TRa-273,,,
AB738088,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4B, Oriental Mindoro",2006,2006,2006,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4B.PHL/2006/Z-06-203,,,
AB738089,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Cavite",2006,2006,2006,1124,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-222,,,
AB771910,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"CAR, Kalinga Apayao",2010,2010,2010,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/CAR.PHL/2010/TRa-291,,,
AB771911,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 1,Pangasinan",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-262,,,
AB771912,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 1,Pangasinan",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-266,,,
AB771913,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 1,Pangasinan",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-267,,,
AB771914,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 1, Ilocos Sur",2010,2010,2010,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2010/TRa-287,,,
AB771915,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 1,Pangasinan",2010,2010,2010,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2010/TRa-298,,,
AB771916,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 5, Catanduanes",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2009/TRa-269,,,
AB771917,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 5, Camarines Norte",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2009/TRa-271,,,
AB771918,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 10, Misamis Orientale",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-194,,,
AB771919,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 10, Misamis Orientale",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-195,,,
AB771920,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Regoin 10, Misamis Orientale",2009,2009,2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,,RV/R10.PHL/2009/TRa-247,,,
AB838709,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region1, Pangasinan",2009,2009,2009,1575,19-Jul-13,19-Jul-13,Canis lupus familiaris,23593515,,RV/R1.PHL/2009/TRa-156,,,
AB838710,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region7, Cebu",2009,2009,2009,1575,19-Jul-13,19-Jul-13,Canis lupus familiaris,23593515,,RV/R7.PHL/2009/TRa-179,,,
AB981663,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Champasak,2011,2011,2011,11924,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao2,,,
AB981664,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2011,2011,2011,11924,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao4,,,
AB981665,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2011,2011,2011,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao1,,,
AB981666,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2011,2011,2011,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao3,,,
AB981667,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2011,2011,2011,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao5,,,
AB981668,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2011,2011,2011,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao7,,,
AB981669,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2011,2011,2011,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao8,,,
AB981670,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Champasak,2011,2011,2011,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao10,,,
AB981671,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao11,,,
AB981672,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao12,,,
AB981673,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao13,,,
AB981674,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Champasak,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao17,,,
AB981675,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Champasak,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao21,,,
AB981676,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Vientiane Capital,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao22,,,
AB981677,AL_Asian_SEA3,Asian SEA3,LAO,Lao,Champasak,2012,2012,2012,1353,28-Apr-15,28-Apr-15,Canis lupus familiaris brain,25825907,,Lao23,,,
AF401285,AL_Asian_SEA3,Asian SEA3,THA,Thailand,-,1983,-,2002,1575,1-Aug-02,1-Aug-02,Canis familiaris,-,,8743THA,,,
AY138572,AL_Asian_SEA3,Asian SEA3,THA,Thailand,-,1995,-,2003,320,2-Jan-03,23-Jul-16,Canis familiaris,-,,2908,,,
AY138573,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,-,1989,-,2003,320,2-Jan-03,23-Jul-16,Homo sapiens,1634801,,388,,,
AY138574,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,-,1989,-,2003,320,2-Jan-03,23-Jul-16,Canis familiaris,1634801,,853,,,
AY580090,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,1999,-,2005,301,30-Mar-05,25-Jul-16,Homo sapiens,16352324,,HM88BKjj,,,
AY580091,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,1998,-,2005,301,30-Mar-05,25-Jul-16,Homo sapiens,16352324,,HM75BK,,,
AY580092,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Homo sapiens,16352324,,HM208BKpv,,,
AY580093,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Prakan,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,1SPpsd,,,
AY580094,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nonthaburi,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,5NBm,,,
AY580095,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nakhon Pathom,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,26NPpmt,,,
AY580096,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Prakan,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,53SPppd,,,
AY580097,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Patum Thani,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,67PTtyb,,,
AY580098,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Patum Thani,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,80PTllk,,,
AY580099,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nonthaburi,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,81NBtn,,,
AY580100,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Sakhon,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,125SSktb,,,
AY580101,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Sakhon,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,133SSm,,,
AY580102,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Sakhon,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,176SSktb,,,
AY580103,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Sakhon,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,187SSm,,,
AY580104,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Sakhon,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,207SSm,,,
AY580105,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Sakhon,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,217SSm,,,
AY580106,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nonthaburi,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,218NBbk,,,
AY580107,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nonthaburi,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,222NBbbt,,,
AY580108,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nonthaburi,1999,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,228NBtn,,,
AY580109,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nakhon Pathom,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,304NPbl,,,
AY580110,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nakhon Pathom,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,315NPm,,,
AY580111,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nakhon Pathom,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,324NPm,,,
AY580112,AL_Asian_SEA3,Asian SEA3,THA,Thailand,bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,6BKjt,,,
AY580113,AL_Asian_SEA3,Asian SEA3,THA,Thailand,patum Thani,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,8PTm,,,
AY580114,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nakhon Pathom,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,13NPsp,,,
AY580115,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Prakan,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,14SPppd,,,
AY580116,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Patum Thani,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,15PTllk,,,
AY580117,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,16BKwtl,,,
AY580118,AL_Asian_SEA3,Asian SEA3,THA,Thailand,bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,19BKbkp,,,
AY580119,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,20Bkds,,,
AY580120,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Samut Prakan,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,23SPppd,,,
AY580121,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Nonthaburi,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,27NBpk,,,
AY580122,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,35BKbk,,,
AY580123,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,36BKpsc,,,
AY580124,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,38BKlp,,,
AY580125,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,40BKpp,,,
AY580126,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Bangkok,2001,-,2005,301,30-Mar-05,25-Jul-16,Canis familiaris,16352324,,48BKpyt,,,
